Label;Function;Description;APIName;APIUrl;Action;LocalPermissions;RemotePermissions;Scope;Settings;Available;ReportType;ExportFile;BoxVersion
GET-REMOTEPWOL;Get-REMOTEProxyWOL;Get REMOTE Proxy WOL Information;remote/proxywol;https://192.168.1.254/api/v1/remote/proxywol;GET;private;private;remote;No;Yes;List;remote-proxywol;22.3.22
GET-SERVICES;Get-SERVICES;Get SERVICES Configuration Information;services;https://192.168.1.254/api/v1/services;GET;public;private;lan-read;No;Yes;Table;services;22.3.22
GET-SUMMARY;Get-SUMMARY;Get SUMMARY Configuration Information;summary;https://192.168.1.254/api/v1/summary;GET;public;private;lan-read;No;Yes;List;summary;22.3.22
GET-SPEEDTESTC;GET-SPEEDTESTContext;Get Speedtest Context Configuration Information;speedtest/context;https://192.168.1.254/api/v1/speedtest/context;GET;public;private;device-read;No;No;List;speedtest-context;22.3.22
GET-UPNPIGD;Get-UPNPIGD;Get UPNP IGD Configuration Information;upnp/igd;https://192.168.1.254/api/v1/upnp/igd;GET;public;private;igd-read;No;Yes;List;upnp-igd;22.3.22
GET-UPNPIGDR;Get-UPNPIGDRules;Get UPNP IGD Rules Configuration Information;upnp/igd/rules;https://192.168.1.254/api/v1/upnp/igd/rules;GET;public;private;igd-read;No;Yes;Table;upnp-igd-rules;22.3.22
GET-USBS;Get-USBStorage;Get USB Storage Configuration Information;usb/storage;https://192.168.1.254/api/v1/usb/storage;GET;private;private;usb-read;No;Yes;Table;usb-storage;22.3.22
GET-USERSAVE;Get-USERSAVE;Get USER SAVE Configuration Information;usersave;https://192.168.1.254/api/v1/usersave;GET;public;private;backup-read;No;Yes;List;usersave;22.3.22
GET-VOIP;Get-VOIP;Get VOIP Configuration Information;voip;https://192.168.1.254/api/v1/voip;GET;private;private;voip-read;No;Yes;List;voip;22.3.22
GET-VOIPCL;Get-VOIPCallLogLineX;Get-VOIP Last 5 Calls Log Information by line;voip/calllog;https://192.168.1.254/api/v1/voip/calllog/{ID};GET;private;private;voip-read;No;Yes;Table;voip-calllog;22.3.22
GET-VOIPCLPN;Get-VOIPCallLogLineXPhoneNumber;Get-VOIP Last 5 Calls Log Information by line and Phone Number;voip/calllog;https://192.168.1.254/api/v1/voip/calllog/{ID};GET;private;private;voip-read;No;Yes;Table;voip-calllog-by-phone-number;Custom
GET-VOIPCLS;Get-VOIPCallLogLineXSummary;Get-VOIP Last 5 Calls Log Information Summary by line;voip/calllog;https://192.168.1.254/api/v1/voip/calllog/{ID};GET;private;private;voip-read;No;Yes;Table;voip-calllog-summary;Custom
GET-VOIPDC;Get-VOIPDiagsConfig;Get-VOIP Diags Config Information;voip/diag;https://192.168.1.254/api/v1/voip/diag;GET;private;private;voip-read;No;Yes;Table;voip-diag-config;22.3.22
GET-VOIPDL;Get-VOIPDiagsLine;Get-VOIP Diags Line Information;voip/diag;https://192.168.1.254/api/v1/voip/diag;GET;private;private;voip-read;No;Yes;Table;voip-diag-line;22.3.22
GET-VOIPDH;Get-VOIPDiagHost;Get-VOIP Diags Host Information;voip/diag;https://192.168.1.254/api/v1/voip/diag;GET;private;private;voip-read;No;Yes;Table;voip-diag-host;22.3.22
GET-VOIPDU;Get-VOIPDiagUSB;Get-VOIP Diags USB Information;voip/diag;https://192.168.1.254/api/v1/voip/diag;GET;private;private;voip-read;No;Yes;Table;voip-diag-usb;22.3.22
GET-VOIPFCL;Get-VOIPFullcalllogLineX;Get-VOIP Full Call Log Information by line;voip/fullcalllog;https://192.168.1.254/api/v1/voip/fullcalllog/{ID};GET;private;private;voip-write;No;Yes;Table;voip-fullcalllog;22.3.22
GET-VOIPFCLPN;Get-VOIPFullCallLogLineXPhoneNumber;Get-VOIP Full Call Log Information by line and Phone Number;voip/fullcalllog;https://192.168.1.254/api/v1/voip/fullcalllog/{ID};GET;private;private;voip-write;No;Yes;Table;voip-fullcalllog-by-phone-number;Custom
GET-VOIPFCLS;Get-VOIPFullCallLogLineXSummary;Get-VOIP Full Call Log Information Summary by line;voip/fullcalllog;https://192.168.1.254/api/v1/voip/fullcalllog/{ID};GET;private;private;voip-write;No;Yes;Table;voip-fullcalllog-summary;Custom
GET-VOIPS;Get-VOIPScheduler;Get VOIP Scheduler Configuration Information;voip/scheduler;https://192.168.1.254/api/v1/voip/scheduler;GET;private;private;voip-read;No;Yes;Table;voip-scheduler;22.3.22
GET-VOIPSR;Get-VOIPSchedulerRules;Get VOIP Scheduler Rules Configuration Information;voip/scheduler;https://192.168.1.254/api/v1/voip/scheduler;GET;private;private;voip-read;No;Yes;Table;voip-scheduler-rules;22.3.22
GET-VOIPALN;Get-VOIPAllowedListNumber;Get VOIP Scheduler Allowed List Number Configuration Information;voip/scheduler/number;https://192.168.1.254/api/v1/voip/scheduler/number;GET;private;private;voip-read;No;Yes;Table;voip-scheduler-number;22.3.22
GET-WANAC;Get-WANAutowanConfig;Get WAN Autowan Configuration Information;wan/autowan;https://192.168.1.254/api/v1/wan/autowan;GET;private;private;wan-read;No;Yes;List;wan-autowan-config;22.3.22
GET-WANAP;Get-WANAutowanProfiles;Get WAN Autowan Profiles Configuration Information;wan/autowan;https://192.168.1.254/api/v1/wan/autowan;GET;private;private;wan-read;No;Yes;Table;wan-autowan-Profiles;22.3.22
GET-WAND;Get-WANDiags;Get WAN Diags Information;wan/diags;https://192.168.1.254/api/v1/wan/diags;GET;public;private;diag-read;No;Yes;Table;wan-diags;22.3.22
GET-WANDS;Get-WANDiagsSessions;Get WAN DIAGS Sessions Configuration Information;wan/diags/sessions;https://192.168.1.254/api/v1/wan/diags/sessions;GET;private;private;diag-read;No;Yes;List;wan-diags-sessions-config;22.3.22
GET-WANDSHAS;Get-WANDiagsSummaryHostsActiveSessions;Get WAN DIAGS Active Summary Hosts Sessions Information;wan/diags/sessions;https://192.168.1.254/api/v1/wan/diags/sessions;GET;private;private;diag-read;No;Yes;Table;wan-diags-sessions-host;22.3.22
GET-WANDSID;Get-WANDiagsSessionsID;Get WAN DIAGS Sessions Configuration Information by Page;wan/diags/sessions;https://192.168.1.254/api/v1/wan/diags/sessions/{ID};GET;private;private;diag-read;No;No;Table;wan-diags-sessions-id-page;22.3.22
