Label;Function;Description;APIName;APIUrl;Action;LocalPermissions;RemotePermissions;Scope;Settings;Available;ReportType;ExportFile;BoxVersion
;;Update the current Lan configuration;; https://mafreebox.freebox.fr/api/v4/lan/config;Put;Private;Private;;No;No;List;Lan_Config;
;;Getting the list of browsable LAN interfaces;;https://mafreebox.freebox.fr/api/v4/lan/browser/interfaces;Get;Private;Private;;No;Yes;List;Lan_Browser_Interfaces;
;;Getting the list of hosts on a given interface;;https://mafreebox.freebox.fr/api/v4/lan/browser/{interface};Get;Private;Private;;No;Yes;Table;Lan_Browser_Interface_By_ID;
;;Returns the requested LanHost properties;;https://mafreebox.freebox.fr/api/v4/lan/browser/{interface}/{hostid};Get;Private;Private;;No;Yes;List;Lan_Browser_Interface_By_Host;
;;Updating an host information;; https://mafreebox.freebox.fr/api/v4/lan/browser/{interface}/{hostid};Put;Private;Private;;No;No;List;Lan_Browser_Interface_By_Host;
;;Send Wake ok Lan packet to an host;; https://mafreebox.freebox.fr/api/v4/lan/wol/{interface};Post;Private;Private;;No;No;List;Lan_WOL_Interface_By_ID;
;;Get the current Freeplugs networks;;https://mafreebox.freebox.fr/api/v4/freeplug;Get;Private;Private;;No;Yes;Table;Freeplug;
;;Get Freeplug information by ID;;https://mafreebox.freebox.fr/api/v4/freeplug/{id};Get;Private;Private;;No;Yes;List;Freeplug_By_ID;
;;Reset a Freeplug by ID;; https://mafreebox.freebox.fr/api/v4/freeplug/{id}/reset;Post;Private;Private;;No;No;List;Freeplug_By_ID_Reset;
;;Get the current DHCP configuration;;https://mafreebox.freebox.fr/api/v4/dhcp/config;Get;Private;Private;;No;Yes;List;DHCP_Config;
;;Update the current DHCP configuration;; https://mafreebox.freebox.fr/api/v4/dhcp/config;Put;Private;Private;;No;No;List;DHCP_Config;
;;Get the list of DHCP static leases;;https://mafreebox.freebox.fr/api/v4/dhcp/static_lease;Get;Private;Private;;No;Yes;Table;DHCP_Static_Lease;
;;Get a given DHCP static lease;;https://mafreebox.freebox.fr/api/v4/dhcp/static_lease/{id};Get;Private;Private;;No;Yes;List;DHCP_Static_Lease_By_ID;
;;Add a DHCP static lease;; https://mafreebox.freebox.fr/api/v4/dhcp/static_lease/{id};Post;Private;Private;;No;No;List;DHCP_Static_Lease_By_ID;
;;Update DHCP static lease;; https://mafreebox.freebox.fr/api/v4/dhcp/static_lease/{id};Put;Private;Private;;No;No;List;DHCP_Static_Lease_By_ID;
;;Delete a DHCP static lease;; https://mafreebox.freebox.fr/api/v4/dhcp/static_lease/{id};Delete;Private;Private;;No;No;List;DHCP_Static_Lease_By_ID;
;;Get the list of DHCP dynamic leases;;https://mafreebox.freebox.fr/api/v4/dhcp/dynamic_lease;Get;Private;Private;;No;Yes;List;DHCP_Dynamic_Lease;
;;Get the current Ftp configuration;;https://mafreebox.freebox.fr/api/v4/ftp/config;Get;Private;Private;;No;Yes;List;FTP_Config;
;;Update the FTP configuration;; https://mafreebox.freebox.fr/api/v4/ftp/config;Put;Private;Private;;No;No;List;FTP_Config;
;;Get the current Dmz configuration;;https://mafreebox.freebox.fr/api/v4/fw/dmz;Get;Private;Private;;No;Yes;List;FW_DMZ;
