Label;Function;Description;APIName;APIUrl;Action;LocalPermissions;RemotePermissions;Scope;Settings;Available;ReportType;ExportFile
GET-VOIPFCL;Get-VOIPFullcalllogLineX;Get-VOIP Full Call Log Information by line;voip/fullcalllog;https://192.168.1.254/api/v1/voip/fullcalllog/{ID};GET;private;Private;voip-write;No;Yes;Table;voip-fullcalllog
GET-VOIPS;Get-VOIPScheduler;Get VOIP Scheduler Configuration Information;voip/scheduler;https://192.168.1.254/api/v1/voip/scheduler;GET;private;Private;voip-read;No;Yes;Table;voip-scheduler
GET-VOIPSR;Get-VOIPSchedulerRules;Get VOIP Scheduler Rules Configuration Information;voip/scheduler;https://192.168.1.254/api/v1/voip/scheduler;GET;private;Private;voip-read;No;Yes;Table;voip-scheduler-rules
GET-VOIPALN;Get-VOIPAllowedListNumber;Get VOIP Scheduler Allowed List Number Configuration Information;voip/scheduler/number;https://192.168.1.254/api/v1/voip/scheduler/number;GET;private;Private;voip-read;No;Yes;Table;voip-scheduler-number
GET-WANA;Get-WANAutowan;Get WAN Autowan Configuration Information;wan/autowan;https://192.168.1.254/api/v1/wan/autowan;GET;public;Private;wan-read;No;Yes;List;wan-autowan
GET-WAND;Get-WANDiags;Get WAN Diags Information;wan/diags;https://192.168.1.254/api/v1/wan/diags;GET;public;Private;diag-read;No;Yes;List;wan-diags
GET-WANDS;Get-WANDiagsSessions;Get WAN DIAGS Sessions Configuration Information;wan/diags/sessions;https://192.168.1.254/api/v1/wan/diags/sessions;GET;private;Private;diag-read;No;Yes;List;wan-diags-sessions-config
GET-WANDSHAS;Get-WANDiagsSummaryHostsActiveSessions;Get WAN DIAGS Active Summary Hosts Sessions Information;wan/diags/sessions;https://192.168.1.254/api/v1/wan/diags/sessions;GET;private;Private;diag-read;No;Yes;Table;wan-diags-sessions-host
GET-WANDSID;Get-WANDiagsSessionsID;Get WAN DIAGS Sessions Configuration Information by Page;wan/diags/sessions;https://192.168.1.254/api/v1/wan/diags/sessions/{ID};GET;private;Private;diag-read;No;No;Table;wan-diags-sessions-id-page
GET-WANDAAS;Get-WANDiagsAllActiveSessions;Get WAN DIAGS All Active Sessions Information;wan/diags/sessions;https://192.168.1.254/api/v1/wan/diags/sessions;GET;private;Private;diag-read;No;Yes;Table;wan-diags-sessions
GET-WANDAASH;Get-WANDiagsAllActiveSessionsHost;Get WAN DIAGS All Active Sessions Information by Host;wan/diags/sessions;https://192.168.1.254/api/v1/wan/diags/sessions;GET;private;Private;diag-read;No;Yes;Table;wan-diags-sessions-id
GET-WANFS;Get-WANFStats;Get WAN FTTH STATS Information;wan/ftth/stats;https://192.168.1.254/api/v1/wan/ftth/stats;GET;public;Private;wan-read;No;Yes;List;wan-ftth-stats
GET-WANIP;Get-WANIP;Get WAN IP Configuration Information;wan/ip;https://192.168.1.254/api/v1/wan/ip;GET;public;Private;wan-read;No;Yes;List;wan-ip
GET-WANIPS;Get-WANIPStats;Get WAN IP Stats Information;wan/ip/stats;https://192.168.1.254/api/v1/wan/ip/stats;GET;public;Private;wan-read;No;Yes;List;wan-ip-stats
GET-WANXDSL;Get-WANXDSL;Get WAN XDSL Configuration Information;wan/xdsl;https://192.168.1.254/api/v1/wan/xdsl;GET;public;Private;wan-read;No;Yes;List;wan-xdsl
